panel,release_id,fiscal_year,indicator_id,indicator_name,prefecture_code,prefecture_name,rate_lower_per_100k,rate_upper_per_100k,point_rate_per_100k,rank_best_possible,rank_worst_possible,ranking_status,suppression_subtype
A_rate_bounds,No.11,2024,IND_5210011,根充済み,37,香川県,517.9935,517.9935,517.9935,,,point_identified,not_suppressed
A_rate_bounds,No.11,2024,IND_5210011,根充済み,38,愛媛県,187.931,187.931,187.931,,,point_identified,not_suppressed
A_rate_bounds,No.11,2024,IND_5210011,根充済み,39,高知県,22.2561,22.2561,22.2561,,,point_identified,not_suppressed
A_rate_bounds,No.11,2024,IND_5210011,根充済み,40,福岡県,28.0636,28.0636,28.0636,,,point_identified,not_suppressed
A_rate_bounds,No.11,2024,IND_5210011,根充済み,41,佐賀県,47.0812,47.0812,47.0812,,,point_identified,not_suppressed
A_rate_bounds,No.11,2024,IND_5210011,根充済み,42,長崎県,163.1789,163.1789,163.1789,,,point_identified,not_suppressed
A_rate_bounds,No.11,2024,IND_5210011,根充済み,43,熊本県,113.4355,113.4355,113.4355,,,point_identified,not_suppressed
A_rate_bounds,No.11,2024,IND_5210011,根充済み,44,大分県,113.9171,113.9171,113.9171,,,point_identified,not_suppressed
A_rate_bounds,No.11,2024,IND_5210011,根充済み,45,宮崎県,22.3621,22.3621,22.3621,,,point_identified,not_suppressed
A_rate_bounds,No.11,2024,IND_5210011,根充済み,46,鹿児島県,1931.9843,1931.9843,1931.9843,,,point_identified,not_suppressed
A_rate_bounds,No.11,2024,IND_5210011,根充済み,47,沖縄県,158.663,158.663,158.663,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,01,北海道,304.3478,304.3478,304.3478,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,02,青森県,504.1284,504.1284,504.1284,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,03,岩手県,123.9844,123.9844,123.9844,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,04,宮城県,100.8141,100.8141,100.8141,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,05,秋田県,169.8925,169.8925,169.8925,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,06,山形県,334.8754,334.8754,334.8754,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,07,福島県,374.0857,374.0857,374.0857,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,08,茨城県,267.638,267.638,267.638,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,09,栃木県,310.3343,310.3343,310.3343,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,10,群馬県,574.5058,574.5058,574.5058,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,11,埼玉県,244.8603,244.8603,244.8603,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,12,千葉県,100.2571,100.2571,100.2571,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,13,東京都,200.6585,200.6585,200.6585,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,14,神奈川県,222.8578,222.8578,222.8578,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,15,新潟県,5847.3958,5847.3958,5847.3958,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,16,富山県,810.8818,810.8818,810.8818,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,17,石川県,87.0884,87.0884,87.0884,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,18,福井県,139.5172,139.5172,139.5172,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,19,山梨県,118.4431,118.4431,118.4431,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,20,長野県,767.0796,767.0796,767.0796,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,21,岐阜県,129.7244,129.7244,129.7244,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,22,静岡県,228.7027,228.7027,228.7027,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,23,愛知県,121.0076,121.0076,121.0076,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,24,三重県,265.859,265.859,265.859,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,25,滋賀県,119.9575,119.9575,119.9575,,,point_identified,not_suppressed
A_rate_bounds,No.2,2015,IND_5210011,根充済み,26,京都府,175.1724,175.1724,175.1724,,,point_identified,not_suppressed
