fiscal_year,population_year_or_date,prefecture_code,prefecture_name,population,source_name,source_path_or_url,denominator_definition,notes
2014,2014-10-01,40,福岡県,5091106,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,41,佐賀県,835040,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,42,長崎県,1386468,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,43,熊本県,1794091,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,44,大分県,1171061,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,45,宮崎県,1114109,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,46,鹿児島県,1667830,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2014,2014-10-01,47,沖縄県,1420865,e-Stat 人口推計 table_0003104195 (H22/H26国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003104195&cdTime=2014001001,総人口（男女計・外国人含む）2014年10月1日現在 単位=人,cat01=204 cat02=000 cat03=001; ダウンロード 2026-07-07
2015,2015-10-01,01,北海道,5382000,e-Stat 人口推計 table_0003459027 (H27国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003459027&cdCat01=000&cdCat02=01000&cdCat03=001&cdTime=1501,総人口（男女計）2015-10-01 H27国勢調査基準 単位=千人→×1000,time_code=1501; 千人×1000=人; ダウンロード 2026-07-07
2015,2015-10-01,02,青森県,1308000,e-Stat 人口推計 table_0003459027 (H27国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003459027&cdCat01=000&cdCat02=01000&cdCat03=001&cdTime=1501,総人口（男女計）2015-10-01 H27国勢調査基準 単位=千人→×1000,time_code=1501; 千人×1000=人; ダウンロード 2026-07-07
2015,2015-10-01,03,岩手県,1280000,e-Stat 人口推計 table_0003459027 (H27国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003459027&cdCat01=000&cdCat02=01000&cdCat03=001&cdTime=1501,総人口（男女計）2015-10-01 H27国勢調査基準 単位=千人→×1000,time_code=1501; 千人×1000=人; ダウンロード 2026-07-07
2015,2015-10-01,04,宮城県,2334000,e-Stat 人口推計 table_0003459027 (H27国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003459027&cdCat01=000&cdCat02=01000&cdCat03=001&cdTime=1501,総人口（男女計）2015-10-01 H27国勢調査基準 単位=千人→×1000,time_code=1501; 千人×1000=人; ダウンロード 2026-07-07
2015,2015-10-01,05,秋田県,1023000,e-Stat 人口推計 table_0003459027 (H27国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003459027&cdCat01=000&cdCat02=01000&cdCat03=001&cdTime=1501,総人口（男女計）2015-10-01 H27国勢調査基準 単位=千人→×1000,time_code=1501; 千人×1000=人; ダウンロード 2026-07-07
2015,2015-10-01,06,山形県,1124000,e-Stat 人口推計 table_0003459027 (H27国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003459027&cdCat01=000&cdCat02=01000&cdCat03=001&cdTime=1501,総人口（男女計）2015-10-01 H27国勢調査基準 単位=千人→×1000,time_code=1501; 千人×1000=人; ダウンロード 2026-07-07
2015,2015-10-01,07,福島県,1914000,e-Stat 人口推計 table_0003459027 (H27国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003459027&cdCat01=000&cdCat02=01000&cdCat03=001&cdTime=1501,総人口（男女計）2015-10-01 H27国勢調査基準 単位=千人→×1000,time_code=1501; 千人×1000=人; ダウンロード 2026-07-07
2015,2015-10-01,08,茨城県,2917000,e-Stat 人口推計 table_0003459027 (H27国勢調査基準),https://api.e-stat.go.jp/rest/3.0/app/json/getStatsData?appId=...&statsDataId=0003459027&cdCat01=000&cdCat02=01000&cdCat03=001&cdTime=1501,総人口（男女計）2015-10-01 H27国勢調査基準 単位=千人→×1000,time_code=1501; 千人×1000=人; ダウンロード 2026-07-07
