release_id,fiscal_year,indicator_id,indicator_name,prefecture_code,prefecture_name,rate_lower_per_100k,rate_upper_per_100k,rank_best_possible,rank_worst_possible,rank_interval_width,ranking_status,ambiguity_context
No.11,2024,IND_5210011,根充済み,22,静岡県,211.7664,211.7664,19.0,19.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,23,愛知県,74.9598,74.9598,43.0,43.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,24,三重県,167.0368,167.0368,24.0,24.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,25,滋賀県,105.9201,105.9201,36.0,36.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,26,京都府,157.6587,157.6587,28.0,28.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,27,大阪府,2345.7919,2345.7919,2.0,2.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,28,兵庫県,292.9361,292.9361,13.0,13.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,29,奈良県,314.9416,314.9416,12.0,12.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,30,和歌山県,260.5682,260.5682,15.0,15.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,31,鳥取県,100.565,100.565,37.0,37.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,32,島根県,76.0125,76.0125,41.0,41.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,33,岡山県,380.994,380.994,10.0,10.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,34,広島県,171.9971,171.9971,23.0,23.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,35,山口県,396.6432,396.6432,9.0,9.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,36,徳島県,176.7883,176.7883,22.0,22.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,37,香川県,517.9935,517.9935,7.0,7.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,38,愛媛県,187.931,187.931,21.0,21.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,39,高知県,22.2561,22.2561,47.0,47.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,40,福岡県,28.0636,28.0636,45.0,45.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,41,佐賀県,47.0812,47.0812,44.0,44.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,42,長崎県,163.1789,163.1789,26.0,26.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,43,熊本県,113.4355,113.4355,33.0,33.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,44,大分県,113.9171,113.9171,32.0,32.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,45,宮崎県,22.3621,22.3621,46.0,46.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,46,鹿児島県,1931.9843,1931.9843,3.0,3.0,0.0,stable_point_identified,
No.11,2024,IND_5210011,根充済み,47,沖縄県,158.663,158.663,27.0,27.0,0.0,stable_point_identified,
