release_id,fiscal_year,indicator_id,indicator_name,prefecture_code,prefecture_name,cell_state,suppression_subtype,observed_count,count_lower,count_upper,bounds_status,ambiguity_flag
No.1,2014,IND_8843319,限局型若年性歯周炎,38,愛媛県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,39,高知県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,40,福岡県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,41,佐賀県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,42,長崎県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,43,熊本県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,44,大分県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,45,宮崎県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,46,鹿児島県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.1,2014,IND_8843319,限局型若年性歯周炎,47,沖縄県,suppressed,ambiguous_suppression,,,,not_bounded_ambiguous,yes
No.2,2015,IND_5210011,根充済み,01,北海道,observed,not_suppressed,16380.0,16380.0,16380.0,point_identified,no
No.2,2015,IND_5210011,根充済み,02,青森県,observed,not_suppressed,6594.0,6594.0,6594.0,point_identified,no
No.2,2015,IND_5210011,根充済み,03,岩手県,observed,not_suppressed,1587.0,1587.0,1587.0,point_identified,no
No.2,2015,IND_5210011,根充済み,04,宮城県,observed,not_suppressed,2353.0,2353.0,2353.0,point_identified,no
No.2,2015,IND_5210011,根充済み,05,秋田県,observed,not_suppressed,1738.0,1738.0,1738.0,point_identified,no
No.2,2015,IND_5210011,根充済み,06,山形県,observed,not_suppressed,3764.0,3764.0,3764.0,point_identified,no
No.2,2015,IND_5210011,根充済み,07,福島県,observed,not_suppressed,7160.0,7160.0,7160.0,point_identified,no
No.2,2015,IND_5210011,根充済み,08,茨城県,observed,not_suppressed,7807.0,7807.0,7807.0,point_identified,no
No.2,2015,IND_5210011,根充済み,09,栃木県,observed,not_suppressed,6126.0,6126.0,6126.0,point_identified,no
No.2,2015,IND_5210011,根充済み,10,群馬県,observed,not_suppressed,11335.0,11335.0,11335.0,point_identified,no
No.2,2015,IND_5210011,根充済み,11,埼玉県,observed,not_suppressed,17794.0,17794.0,17794.0,point_identified,no
No.2,2015,IND_5210011,根充済み,12,千葉県,observed,not_suppressed,6239.0,6239.0,6239.0,point_identified,no
No.2,2015,IND_5210011,根充済み,13,東京都,observed,not_suppressed,27119.0,27119.0,27119.0,point_identified,no
No.2,2015,IND_5210011,根充済み,14,神奈川県,observed,not_suppressed,20338.0,20338.0,20338.0,point_identified,no
No.2,2015,IND_5210011,根充済み,15,新潟県,observed,not_suppressed,134724.0,134724.0,134724.0,point_identified,no
No.2,2015,IND_5210011,根充済み,16,富山県,observed,not_suppressed,8644.0,8644.0,8644.0,point_identified,no
No.2,2015,IND_5210011,根充済み,17,石川県,observed,not_suppressed,1005.0,1005.0,1005.0,point_identified,no
No.2,2015,IND_5210011,根充済み,18,福井県,observed,not_suppressed,1098.0,1098.0,1098.0,point_identified,no
No.2,2015,IND_5210011,根充済み,19,山梨県,observed,not_suppressed,989.0,989.0,989.0,point_identified,no
No.2,2015,IND_5210011,根充済み,20,長野県,observed,not_suppressed,16101.0,16101.0,16101.0,point_identified,no
